",""long"",""lat"",""nro_registro"",""tipo_activ"",""comuna"",""manzana"",""calle_nombre"",""calle_altura"",""calle_chapa"",""direccion_normalizada"",""ubicacion"",""nombre_cientifico"",""ancho_acera"",""estado_plantera"",""ubicacion_plantera"",""nivel_plantera"",""diametro_altura_pecho"",""altura_arbol"",""diam_group"",""es_avenida"",""es_avenida2"""
"1,-58.3785628928503,-34.5949023233017,26779,""Lineal"",1,NA,""Esmeralda"",1000,1120,""ESMERALDA 1120"",NA,""Tipuana tipu"",5.5,""Ocupada"",""Regular"",""a nivel"",88,34,""B: >50cm & <= 100cm"",""no"",""no"""
"2,-58.3815320317035,-34.5923187022722,30887,""Lineal"",1,NA,""Pellegrini Carlos"",1300,1345,""PELLEGRINI, CARLOS 1345"",""Exacta"",""Peltophorum dubium"",4.5,""Ocupada"",""Regular"",""elevada"",6,5,""A: <=50cm"",""no"",""no"""
"3,-58.3791031622524,-34.5919390993515,30904,""Lineal"",1,NA,""Arroyo"",800,848,""ARROYO 848"",""Exacta"",""Fraxinus pennsylvanica"",4,""Ocupada"",""Regular"",""a nivel"",7,6,""A: <=50cm"",""no"",""no"""
"4,-58.3807095655605,-34.5915479981732,31336,""Lineal"",1,NA,""Arroyo"",900,932,""ARROYO 932"",""LD"",""Fraxinus pennsylvanica"",NA,""Ocupada"",""Regular"",""a nivel"",9,29,""A: <=50cm"",""no"",""no"""
"5,-58.3807095655605,-34.5915479981732,31337,""Lineal"",1,NA,""Arroyo"",900,932,""ARROYO 932"",""LA"",""Jacaranda mimosifolia"",NA,""Ocupada"",""Regular"",""a nivel"",13,8,""A: <=50cm"",""no"",""no"""
"6,-58.3810432055025,-34.5915839520842,31344,""Lineal"",1,NA,""Arroyo"",900,970,""ARROYO 970"",""Exacta"",""Fraxinus pennsylvanica"",3.5,""Ocupada"",""Regular"",""a nivel"",29,15,""A: <=50cm"",""no"",""no"""
"7,-58.3809677921292,-34.5915758255639,31346,""Lineal"",1,NA,""Arroyo"",900,962,""ARROYO 962"",""LA"",""Fraxinus pennsylvanica"",4.5,""Ocupada"",""Regular"",""a nivel"",21,12,""A: <=50cm"",""no"",""no"""
"8,-58.3733561630816,-34.5948713835448,31864,""Lineal"",1,NA,""Reconquista"",1100,1126,""RECONQUISTA 1126"",""En frente"",""Jacaranda mimosifolia"",NA,""Ocupada"",NA,""a nivel"",8,3,""A: <=50cm"",""no"",""no"""
"9,-58.3808116750906,-34.5915590018614,31354,""Lineal"",1,NA,""Arroyo"",900,940,""ARROYO 940"",""Exacta"",""Jacaranda mimosifolia"",NA,""Ocupada"",""Regular"",""a nivel"",38,15,""A: <=50cm"",""no"",""no"""
"10,-58.379839167529,-34.5928205005041,32142,""Lineal"",1,NA,""Juncal"",800,885,""JUNCAL 885"",""Exacta"",""Tilia x moltkei"",2.8,""Ocupada"",""Regular"",""a nivel"",25,12,""A: <=50cm"",""no"",""no"""
"11,-58.3807095655605,-34.5915479981732,31374,""Lineal"",1,NA,""Arroyo"",900,932,""ARROYO 932"",""Exacta"",""Fraxinus pennsylvanica"",4.5,""Ocupada"",""Regular"",""a nivel"",22,13,""A: <=50cm"",""no"",""no"""
"12,-58.380882637384,-34.5915666489638,31375,""Lineal"",1,NA,""Arroyo"",900,950,""ARROYO 950"",""Exacta"",""Fraxinus pennsylvanica"",4.5,""Ocupada"",""Regular"",""a nivel"",28,15,""A: <=50cm"",""no"",""no"""
"13,-58.3829490866606,-34.5929798034788,32187,""Lineal"",1,NA,""Cerrito"",1200,1294,""CERRITO 1294"",""Exacta"",""Fraxinus pennsylvanica"",6,""Ocupada"",""Fuera de línea"",""a nivel"",45,12,""A: <=50cm"",""no"",""no"""
"14,-58.382948339195,-34.5929965706823,32192,""Lineal"",1,NA,""Cerrito"",1200,1290,""CERRITO 1290"",""Exacta"",""Ficus benjamina"",NA,""Ocupada"",""Regular"",""a nivel"",60,11,""B: >50cm & <= 100cm"",""no"",""no"""
"15,-58.3815037852122,-34.5917192301832,31404,""Lineal"",1,NA,""Pellegrini Carlos"",1300,1391,""PELLEGRINI, CARLOS 1391"",""Exacta"",""Liquidambar styraciflua"",4.5,""Ocupada"",""Regular"",""elevada"",25,10,""A: <=50cm"",""no"",""no"""
"16,-58.3815037852122,-34.5917192301832,31406,""Lineal"",1,NA,""Pellegrini Carlos"",1300,1391,""PELLEGRINI, CARLOS 1391"",""LA"",""No identificado"",4.5,""Ocupada"",""Regular"",""elevada"",50,7,""A: <=50cm"",""no"",""no"""
"17,-58.3815359556362,-34.5924019787841,31407,""Lineal"",1,NA,""Pellegrini Carlos"",1300,1337,""PELLEGRINI, CARLOS 1337"",""Exacta"",""Phoenix loureiri"",4.5,""Ocupada"",""Regular"",""elevada"",15,3,""A: <=50cm"",""no"",""no"""
"18,-58.3815471084899,-34.5926386716564,31411,""Lineal"",1,NA,""Pellegrini Carlos"",1300,1317,""PELLEGRINI, CARLOS 1317"",""Exacta"",""Phoenix roebelenii"",7,""Ocupada"",""Regular"",""elevada"",15,3,""A: <=50cm"",""no"",""no"""
"19,-58.3815146364017,-34.5919495246517,31413,""Lineal"",1,NA,""Pellegrini Carlos"",1300,1371,""PELLEGRINI, CARLOS 1371"",""LD"",""No identificado"",7,""Ocupada"",""Regular"",""elevada"",110,21,""C: >100cm & <= 150cm"",""no"",""no"""
"20,-58.3815146364017,-34.5919495246517,31414,""Lineal"",1,NA,""Pellegrini Carlos"",1300,1371,""PELLEGRINI, CARLOS 1371"",""LD"",""Phoenix roebelenii"",7,""Ocupada"",""Regular"",""elevada"",15,3,""A: <=50cm"",""no"",""no"""
